pallet_index,workstation_index,quantity
133,11,9.17186124
133,15,19.63013180
133,16,13.02543035
133,17,11.37473926
134,6,9.59294146
134,7,42.84505705
134,8,51.56199935
135,9,10.07873915
135,10,9.49864312
135,11,6.63536414
135,15,10.11555554
135,16,8.04490179
135,17,7.62678557
136,13,1.94376569
136,14,26.05623115
137,9,7.46670307
137,10,7.32850109
137,11,5.74707999
137,15,7.22656173
137,16,6.16514526
137,17,6.06600375
138,9,8.71704268
138,10,8.45387059
138,11,6.32724667
138,15,8.52584420
138,16,7.07748887
138,17,6.89849949
139,3,24.06697743
139,4,5.51668055
139,5,4.47672110
139,6,4.93961787
